name,near,Address,Lat,Lng,Charging Speed
Electrify America Charging Station,"Bothell, WA, USA","14003 NE Woodinville Duvall Rd, Woodinville, WA 98072",47.7541388,-122.151152,Very fast
bp pulse Charging Station,"Bothell, WA, USA","13023 NE 175th St, Woodinville, WA 98072",47.7541051,-122.16614369999999,Very fast
Tesla Supercharger,"Bothell, WA, USA","19128 112th Ave NE, Bothell, WA 98011",47.7675258,-122.19157759999999,Fast
ChargePoint Charging Station,"Bothell, WA, USA","18231 110th Ave NE, Bothell, WA 98011",47.759647,-122.19388599999999,Slow
EVgo Charging Station,"Bothell, WA, USA","3000 196th St SW, Lynnwood, WA 98036",47.82057,-122.27356999999999,Fast
Electrify America Charging Station,"Bothell, WA, USA","11224 NE 124th St, Kirkland, WA 98034",47.7113985,-122.1908598,Very fast
ChargePoint Charging Station,"Bothell, WA, USA","South Parking Garage, 18140 Campus Way NE, Bothell, WA 98011",47.7577195,-122.19080109999999,Slow
Electrify America Charging Station,"Bothell, WA, USA","20809 Bothell Everett Hwy, Bothell, WA 98021",47.8083087,-122.2067009,Very fast
Electrify America Charging Station Target,"Bothell, WA, USA","18305 Alderwood Mall Pkwy, Lynnwood, WA 98037",47.8319914,-122.267303,Very fast
Electrify America Charging Station,"Bothell, WA, USA","13000 Lake City Way NE, Seattle, WA 98125",47.7230661,-122.2920857,Very fast
ChargePoint Charging Station,"Bothell, WA, USA","North Parking Garage, Campus Way NE, Bothell, WA 98011",47.7618456,-122.1918719,Slow
ChargePoint Charging Station,"Bothell, WA, USA","11536 Lake City Way NE, Seattle, WA 98125",47.7133265,-122.29817829999999,Fast
EV Connect Charging Station,"Bothell, WA, USA","13023 NE 175th St, Woodinville, WA 98072",47.7541051,-122.16614369999999,Not Applicable
Electric Vehicle Charging Station,"Bothell, WA, USA","17945 Campus Way NE, Bothell, WA 98011",47.760450899999995,-122.1909479,Not Applicable
Shell Recharge Charging Station,"Bothell, WA, USA","11930 124th Ave NE, Kirkland, WA 98034",47.707366199999996,-122.17398449999999,Fast
Blink Charging Station,"Bothell, WA, USA","3830 Monte Villa Pkwy, Bothell, WA 98021",47.777048699999995,-122.1815525,Slow
ChargePoint Charging Station,"Bothell, WA, USA","13550 NE Village Square Dr, Woodinville, WA 98072",47.752007,-122.157917,Slow
Volta Charging Station,"Bothell, WA, USA","Lynnwood, WA 98037",47.828184,-122.2752879,Fast
Blink Charging Station,"Bothell, WA, USA","11804 N Creek Pkwy S, Bothell, WA 98011",47.7634842,-122.18136969999999,Slow
Blink Charging Station,"Bothell, WA, USA","13205 NE 175th St, Woodinville, WA 98072",47.7534858,-122.1629554,Slow
ChargePoint Charging Station,"Bothell, WA, USA","12632 Totem Lake Blvd NE, Kirkland, WA 98034",47.713104,-122.18172,Slow
Blink Charging Station,"Bothell, WA, USA","Parking lot, 6704 NE 181st St, Kenmore, WA 98028",47.7596564,-122.2508416,Slow
ChargePoint Charging Station,"Bothell, WA, USA","14580 NE 145th St, Woodinville, WA 98072",47.734210999999995,-122.1470409,Slow
ChargePoint Charging Station,"Bothell, WA, USA","12039 NE 128th St, Kirkland, WA 98034",47.7144348,-122.1793996,Slow
Blink Charging Station,"Bothell, WA, USA","18911 N Creek Pkwy, Bothell, WA 98011",47.7647852,-122.18458589999999,Slow
EV Connect Charging Station,"Bothell, WA, USA","19820 N Creek Pkwy, Bothell, WA 98011",47.7730095,-122.1855875,Not Applicable
ChargePoint Charging Station,"Bothell, WA, USA","Bothell, WA 98011",47.759585099999995,-122.1930383,Not Applicable
Electric Vehicle Charging Station,"Bothell, WA, USA","20000 N Creek Pkwy, Bothell, WA 98011",47.773958699999994,-122.18580349999999,Not Applicable
EV Connect Charging Station,"Bothell, WA, USA","19910 N Creek Pkwy S, Bothell, WA 98011",47.771795,-122.1809892,Not Applicable
ChargePoint Charging Station,"Bothell, WA, USA","12040 NE 128th St, Kirkland, WA 98034",47.714793,-122.17686889999999,Slow
Blink Charging Station,"Bothell, WA, USA","11010 NE 124th Ln, Kirkland, WA 98034",47.711825999999995,-122.19471899999999,Slow
Blink Charging Station,"Bothell, WA, USA","9926 NE 126th St, Kirkland, WA 98034",47.7134473,-122.2090527,Slow
ChargePoint Charging Station,"Bothell, WA, USA","12540 120th Ave NE, Kirkland, WA 98034",47.712309,-122.17951409999999,Slow
Volta Charging Station,"Bothell, WA, USA","Kenmore, WA 98028",47.758854899999996,-122.2474001,Slow
Blink Charging Station,"Bothell, WA, USA","9834 NE 190th St, Bothell, WA 98011",47.766732,-122.20927499999999,Not Applicable
EV Connect Charging Station,"Bothell, WA, USA","19211 Woodinville Snohomish Rd, Woodinville, WA 98072",47.7668369,-122.15458,Slow
Sun Country Highway Charging Station,"Bothell, WA, USA","18712 12th Ave NE, Shoreline, WA 98155",47.764288799999996,-122.3156818,Medium
Volta Charging Station,"Bothell, WA, USA","Alderwood - JCPenney Parking, 3000 184th St SW, Lynnwood, WA 98037",47.830638,-122.2752062,Fast
ChargePoint Charging Station,"Bothell, WA, USA","22503 WA-9, Woodinville, WA 98072",47.793212999999994,-122.14057,Slow
Shell Recharge Charging Station,"Bothell, WA, USA","19910 N Creek Pkwy, Bothell, WA 98011",47.7717958,-122.180989,Not Applicable
ChargePoint Charging Station,"Bothell, WA, USA","11601 Willows Rd NE, Redmond, WA 98052",47.7048415,-122.15444099999999,Slow
Shell Recharge Charging Station,"Bothell, WA, USA","13023 NE 175th St, Woodinville, WA 98072",47.754031,-122.1661491,Not Applicable
Tesla Destination Charger,"Bothell, WA, USA","19501 144th Ave NE, Woodinville, WA 98072",47.7695985,-122.1513306,Medium
Blink Charging Station,"Bothell, WA, USA","22309 30th Dr SE, Bothell, WA 98021",47.797296599999996,-122.1953075,Slow
Electric Vehicle Charging Station,"Bothell, WA, USA","6101 238th St SE, Woodinville, WA 98072",47.7825426,-122.15068219999999,Not Applicable
Blink Charging Station,"Bothell, WA, USA","11605 132nd Ave NE, Kirkland, WA 98034",47.7054932,-122.16783029999999,Slow
